Student_ID,gender,branch,cgpa,tenth_percentage,twelfth_percentage,backlogs,study_hours_per_day,attendance_percentage,projects_completed,internships_completed,coding_skill_rating,communication_skill_rating,aptitude_skill_rating,hackathons_participated,certifications_count,sleep_hours,stress_level,part_time_job,family_income_level,city_tier,internet_access,extracurricular_involvement
1,Male,ECE,8.74,74.0,75.0,0,3.8,71.1,7,3,4,2,5,4,5,6.5,8,Yes,Medium,Tier 2,Yes,Medium
2,Female,ECE,7.8,75.3,69.7,0,6.3,69.5,5,1,3,4,3,4,1,7.1,8,Yes,Medium,Tier 3,Yes,Low
3,Female,IT,6.95,62.8,68.3,0,1.5,62.5,8,2,5,1,4,6,3,6.1,2,No,Low,Tier 2,Yes,High
4,Male,ECE,7.46,57.9,51.4,1,4.7,64.6,6,2,3,1,4,2,2,7.3,7,No,Medium,Tier 1,Yes,Low
5,Male,IT,6.86,61.3,73.5,2,5.2,75.9,3,3,2,5,3,2,1,6.0,7,No,Medium,Tier 1,Yes,Medium
6,Male,CSE,7.46,70.5,70.4,3,3.6,81.7,5,3,3,5,4,2,2,8.8,10,Yes,High,Tier 1,Yes,Medium
7,Male,CE,8.26,81.2,74.8,0,1.8,59.6,4,1,3,1,3,4,4,5.7,8,No,Low,Tier 1,No,High
8,Female,IT,7.01,63.9,61.2,0,2.4,64.7,7,1,4,1,4,4,5,4.2,10,No,Medium,Tier 2,Yes,Low
9,Female,CSE,7.97,71.4,73.8,1,7.6,75.5,7,2,4,5,4,5,7,5.4,10,No,Medium,Tier 2,Yes,Medium
10,Female,ECE,8.79,70.1,77.1,0,5.9,77.2,7,4,4,1,4,4,3,7.5,10,Yes,Medium,Tier 1,Yes,Low
11,Male,CSE,6.77,62.6,61.7,0,5.2,76.7,4,0,3,1,3,3,4,6.9,3,No,High,Tier 1,Yes,Low
12,Female,CE,9.62,83.4,86.8,0,8.3,75.1,8,3,5,4,5,5,7,7.9,8,No,Medium,Tier 1,Yes,High
13,Female,ECE,8.17,72.1,71.3,0,2.4,70.7,7,1,4,1,5,4,4,7.6,4,No,High,Tier 3,Yes,High
14,Male,ME,8.94,84.9,81.7,0,4.0,70.8,2,3,2,3,4,2,1,6.2,2,Yes,Medium,Tier 2,Yes,Medium
15,Male,CSE,8.13,75.9,70.3,0,4.1,71.3,8,1,5,3,4,4,7,6.4,8,Yes,Medium,Tier 3,Yes,Low
16,Male,CSE,8.57,79.5,79.0,1,6.5,74.2,7,3,5,4,4,6,3,6.5,3,No,Low,Tier 3,Yes,High
17,Male,CSE,8.97,76.3,84.0,0,0.7,62.5,7,4,5,1,4,6,2,9.0,4,No,Low,Tier 2,Yes,None
18,Male,ECE,8.14,66.2,83.0,0,4.2,80.7,2,2,1,4,4,1,1,7.8,3,No,Low,Tier 3,No,None
19,Male,ME,9.06,78.0,82.3,0,4.0,76.1,8,2,5,1,5,6,4,9.0,6,No,Low,Tier 1,Yes,Medium
20,Male,IT,9.44,78.7,96.4,0,5.6,81.1,7,3,5,1,4,4,6,8.0,10,No,Low,Tier 2,Yes,Low
21,Female,ME,7.22,70.4,67.8,1,3.1,62.8,3,1,3,1,5,2,3,6.9,2,Yes,Low,Tier 1,Yes,High
22,Male,ECE,7.75,70.7,70.9,2,6.4,91.2,3,2,2,3,4,1,1,5.8,10,No,Low,Tier 3,Yes,Low
23,Male,IT,7.6,77.7,64.1,0,4.8,72.0,8,2,5,3,5,3,2,7.2,7,No,High,Tier 1,Yes,Low
24,Male,CE,7.56,70.3,67.0,0,2.4,70.3,7,3,5,2,4,5,6,6.9,10,No,Low,Tier 3,Yes,Medium
25,Male,IT,8.59,84.4,82.7,0,5.2,76.3,5,3,4,4,4,4,5,6.9,8,No,Medium,Tier 1,Yes,Medium
26,Female,ECE,7.57,70.3,62.5,2,3.8,72.2,6,1,4,5,4,4,1,6.7,3,No,Low,Tier 3,Yes,Low
27,Male,CSE,7.37,71.9,62.6,0,5.0,79.4,4,0,2,4,4,2,2,4.5,10,No,High,Tier 2,Yes,Low
28,Male,CSE,7.91,71.3,71.1,0,1.6,70.2,2,1,2,4,3,3,5,8.5,2,No,High,Tier 2,Yes,Medium
29,Male,CE,8.98,87.1,80.5,0,3.5,62.6,7,3,5,3,4,5,3,6.9,10,Yes,Medium,Tier 2,Yes,Low
30,Male,CSE,7.85,75.0,76.3,0,6.0,70.9,8,1,5,1,4,3,0,5.3,10,No,Medium,Tier 2,Yes,None
31,Female,ECE,8.74,71.7,84.8,0,6.8,79.8,2,1,2,4,4,1,0,7.6,9,No,Low,Tier 2,Yes,Medium
32,Male,ECE,8.19,78.2,67.9,0,4.9,77.2,5,2,3,4,4,5,1,6.0,5,No,High,Tier 3,Yes,None
33,Male,ME,8.2,77.2,77.9,0,3.5,70.8,3,1,2,4,4,1,2,7.7,6,No,High,Tier 1,Yes,High
34,Female,ME,7.77,60.3,67.5,0,2.9,64.0,8,2,5,2,5,6,5,8.1,2,No,High,Tier 3,Yes,Medium
35,Female,CSE,5.81,51.6,53.8,0,2.6,71.9,3,0,2,3,3,3,2,8.2,5,No,Medium,Tier 2,Yes,High
36,Female,ECE,7.49,72.7,67.0,0,2.6,75.5,3,2,2,3,4,2,2,6.8,6,No,Medium,Tier 3,Yes,Low
37,Male,ME,8.35,64.3,79.1,0,2.3,66.2,5,3,3,2,4,2,1,6.5,5,No,High,Tier 2,Yes,High
38,Male,IT,8.45,79.4,65.9,0,3.8,73.9,8,2,5,2,4,5,3,6.2,4,No,Low,Tier 2,Yes,None
